model,size,n_embd,n_layer,lr,batch_size,final_train_ce,final_val_ce,runtime_s,status
edit_two_pass,0.1M,64,2,0.0003,64,3.2857258319854736,3.3222079277038574,202.83266949653625,ok
edit_two_pass,0.1M,64,2,0.0003,128,3.1908249855041504,3.2024319171905518,210.93751072883606,ok
edit_two_pass,0.1M,64,2,0.001,64,3.0970346927642822,3.0958638191223145,207.34473872184753,ok
edit_two_pass,0.1M,64,2,0.001,128,3.0784945487976074,3.075601100921631,217.37181043624878,ok
edit_two_pass,0.1M,64,2,0.003,64,2.971680164337158,2.9670462608337402,225.3681619167328,ok
edit_two_pass,0.1M,64,2,0.003,128,2.8895041942596436,2.8791890144348145,229.12983465194702,ok
edit_two_pass,0.1M,64,2,0.01,64,2.884558916091919,2.872532367706299,226.61627769470215,ok
edit_two_pass,0.1M,64,2,0.01,128,2.6925086975097656,2.6790480613708496,229.24340772628784,ok
edit_two_pass,0.3M,96,3,0.0003,64,3.0564424991607666,3.0549895763397217,220.0376913547516,ok
edit_two_pass,0.3M,96,3,0.0003,128,3.0259146690368652,3.019662618637085,241.125501871109,ok
edit_two_pass,0.3M,96,3,0.001,64,2.7345290184020996,2.726386547088623,223.9888617992401,ok
edit_two_pass,0.3M,96,3,0.001,128,2.686535596847534,2.672016143798828,260.1619188785553,ok
edit_two_pass,0.3M,96,3,0.003,64,2.5527408123016357,2.543947219848633,227.63973999023438,ok
edit_two_pass,0.3M,96,3,0.003,128,2.476701259613037,2.4622750282287598,278.27298521995544,ok
edit_two_pass,0.3M,96,3,0.01,64,2.503255605697632,2.4890573024749756,237.21918201446533,ok
edit_two_pass,0.3M,96,3,0.01,128,2.489280939102173,2.4764010906219482,272.8536856174469,ok
edit_two_pass,1M,128,5,0.0003,64,2.868098020553589,2.853442430496216,269.5597541332245,ok
edit_two_pass,1M,128,5,0.0003,128,2.7591917514801025,2.7467727661132812,341.8513035774231,ok
edit_two_pass,1M,128,5,0.001,64,2.506406784057617,2.488328456878662,282.355877161026,ok
edit_two_pass,1M,128,5,0.001,128,2.423846483230591,2.409986734390259,350.10908460617065,ok
edit_two_pass,1M,128,5,0.003,64,2.391751527786255,2.3768112659454346,288.85068941116333,ok
edit_two_pass,1M,128,5,0.003,128,2.2699873447418213,2.2777035236358643,357.84607553482056,ok
edit_two_pass,1M,128,5,0.01,64,2.415351390838623,2.4013142585754395,291.5770971775055,ok
edit_two_pass,1M,128,5,0.01,128,2.281669855117798,2.2913384437561035,344.59269428253174,ok
edit_two_pass,3M,256,4,0.0003,64,2.4064903259277344,2.385138750076294,302.584810256958,ok
edit_two_pass,3M,256,4,0.0003,128,2.343599796295166,2.3378357887268066,392.9326367378235,ok
edit_two_pass,3M,256,4,0.001,64,2.1778388023376465,2.1931374073028564,319.87096333503723,ok
edit_two_pass,3M,256,4,0.001,128,2.0972588062286377,2.1468124389648438,387.9512095451355,ok
edit_two_pass,3M,256,4,0.003,64,2.1138081550598145,2.144834518432617,319.0749170780182,ok
edit_two_pass,3M,256,4,0.003,128,2.0395023822784424,2.1161727905273438,396.40414667129517,ok
edit_two_pass,3M,256,4,0.01,64,2.2393863201141357,2.251661777496338,331.5180895328522,ok
edit_two_pass,3M,256,4,0.01,128,2.104605197906494,2.160917043685913,331.88022327423096,ok
mdlm,0.1M,64,2,0.0003,64,3.3130874633789062,3.351306915283203,120.48973107337952,ok
mdlm,0.1M,64,2,0.0003,128,3.3110790252685547,3.3531601428985596,103.43054127693176,ok
mdlm,0.1M,64,2,0.001,64,3.123520851135254,3.1167986392974854,97.00009965896606,ok
mdlm,0.1M,64,2,0.001,128,3.094648599624634,3.084806442260742,105.97440695762634,ok
mdlm,0.1M,64,2,0.003,64,2.8330914974212646,2.8210768699645996,112.67376637458801,ok
mdlm,0.1M,64,2,0.003,128,2.8206324577331543,2.807421922683716,130.25230860710144,ok
mdlm,0.1M,64,2,0.01,64,2.7276341915130615,2.717125415802002,135.10294151306152,ok
mdlm,0.1M,64,2,0.01,128,2.692610263824463,2.684047222137451,136.73071837425232,ok
mdlm,0.3M,96,3,0.0003,64,3.1058905124664307,3.0993218421936035,123.63209271430969,ok
mdlm,0.3M,96,3,0.0003,128,3.071681499481201,3.0606184005737305,109.88973617553711,ok
mdlm,0.3M,96,3,0.001,64,2.7047786712646484,2.689365863800049,109.90917444229126,ok
mdlm,0.3M,96,3,0.001,128,2.6446824073791504,2.627295970916748,113.97019028663635,ok
mdlm,0.3M,96,3,0.003,64,2.459746837615967,2.4435973167419434,116.14608573913574,ok
mdlm,0.3M,96,3,0.003,128,2.4107143878936768,2.400862216949463,142.05341243743896,ok
mdlm,0.3M,96,3,0.01,64,2.4811620712280273,2.4718780517578125,143.4345555305481,ok
mdlm,0.3M,96,3,0.01,128,2.431020736694336,2.421508312225342,149.80959343910217,ok
mdlm,1M,128,5,0.0003,64,2.70184063911438,2.684009552001953,133.99466180801392,ok
mdlm,1M,128,5,0.0003,128,2.6699397563934326,2.656132936477661,135.42502856254578,ok
mdlm,1M,128,5,0.001,64,2.4324252605438232,2.416987419128418,130.23593306541443,ok
mdlm,1M,128,5,0.001,128,2.3839752674102783,2.3723111152648926,161.96973943710327,ok
mdlm,1M,128,5,0.003,64,2.325981855392456,2.3170347213745117,150.22004866600037,ok
mdlm,1M,128,5,0.003,128,2.196228504180908,2.22092604637146,182.4902148246765,ok
mdlm,1M,128,5,0.01,64,2.411466121673584,2.3984055519104004,164.42441368103027,ok
mdlm,1M,128,5,0.01,128,2.375398635864258,2.372058391571045,185.9446201324463,ok
mdlm,3M,256,4,0.0003,64,2.3414855003356934,2.3278613090515137,126.58142733573914,ok
mdlm,3M,256,4,0.0003,128,2.3125903606414795,2.3112292289733887,138.18016839027405,ok
mdlm,3M,256,4,0.001,64,2.1613123416900635,2.1762239933013916,129.4305703639984,ok
mdlm,3M,256,4,0.001,128,2.0998458862304688,2.149871349334717,170.8982162475586,ok
mdlm,3M,256,4,0.003,64,2.130763053894043,2.150719165802002,157.91629815101624,ok
