p_ar,budget,size,n_params,steps,ar_steps,bd_steps,learning_rate,val_nelbo,val_masked_ce_t0.5,clean_tokens,realized_flops,effective_compute_parameters,duration_seconds,result_path
0.1,30000000000000.0,0.01M,11152,1375,138,1237,0.027,2.141792380809784,2.1451504945755007,45056000,29987388260352,55463.17963636364,13.93108954001218,results_p_ar/runs/p_ar_0.1/3e13/0.01M/lr_2.7e-02/result.json
0.1,30000000000000.0,0.02M,22488,860,86,774,0.027,2.085397279262543,2.0849435687065125,28180480,29991785988096,88689.6,10.01218190882355,results_p_ar/runs/p_ar_0.1/3e13/0.02M/lr_2.7e-02/result.json
0.1,30000000000000.0,0.04M,39968,597,60,537,0.009,2.0608559787273406,2.061067724227905,19562496,29975478534144,127691.09547738693,8.588156506419182,results_p_ar/runs/p_ar_0.1/3e13/0.04M/lr_9.0e-03/result.json
0.1,30000000000000.0,0.1M,114192,264,26,238,0.009,2.3463255524635316,2.352802872657776,8650752,29981707075584,288816.0,5.067651210352778,results_p_ar/runs/p_ar_0.1/3e13/0.1M/lr_9.0e-03/result.json
0.1,30000000000000.0,0.2M,205504,175,18,157,0.009,2.5147408127784727,2.5189682602882386,5734400,29893349867520,434415.54285714286,5.154685841873288,results_p_ar/runs/p_ar_0.1/3e13/0.2M/lr_9.0e-03/result.json
0.1,100000000000000.0,0.01M,11152,4583,458,4125,0.009,2.092672419548035,2.1000844717025755,150175744,99983057485824,55481.139864717436,44.81087589915842,results_p_ar/runs/p_ar_0.1/1e14/0.01M/lr_9.0e-03/result.json
0.1,100000000000000.0,0.02M,22488,2867,287,2580,0.009,1.9509893000125884,1.9569982886314392,93945856,99976498642944,88682.72898500174,29.097646741196513,results_p_ar/runs/p_ar_0.1/1e14/0.02M/lr_9.0e-03/result.json
0.1,100000000000000.0,0.04M,39968,1990,199,1791,0.009,1.9097555160522461,1.9038122117519378,65208320,99954651561984,127737.6,22.202890547923744,results_p_ar/runs/p_ar_0.1/1e14/0.04M/lr_9.0e-03/result.json
0.1,100000000000000.0,0.1M,114192,881,88,793,0.003,1.9473159909248352,1.9437094390392304,28868608,99954141954048,288531.81384790014,13.925364337861538,results_p_ar/runs/p_ar_0.1/1e14/0.1M/lr_3.0e-03/result.json
0.1,100000000000000.0,0.2M,205504,584,58,526,0.009,2.09641489982605,2.0966758370399474,19136512,99999924879360,435467.397260274,11.13912034779787,results_p_ar/runs/p_ar_0.1/1e14/0.2M/lr_9.0e-03/result.json
0.1,100000000000000.0,0.4M,393360,339,34,305,0.003,2.1195669174194336,2.1178855538368224,11108352,99870163599360,749212.2713864307,9.677908094599843,results_p_ar/runs/p_ar_0.1/1e14/0.4M/lr_3.0e-03/result.json
0.1,100000000000000.0,0.8M,781920,185,19,166,0.003,2.52318035364151,2.525463616847992,6062080,99855712124928,1372682.2054054055,7.763329967856407,results_p_ar/runs/p_ar_0.1/1e14/0.8M/lr_3.0e-03/result.json
0.1,300000000000000.0,0.01M,11152,13751,1375,12376,0.027,2.051543825864792,2.052496874332428,450592768,299979635687424,55478.70438513563,131.35906445793808,results_p_ar/runs/p_ar_0.1/3e14/0.01M/lr_2.7e-02/result.json
0.1,300000000000000.0,0.02M,22488,8602,860,7742,0.009,1.9207183063030242,1.9196564972400665,281870336,299992772247552,88691.12671471751,92.96259523369372,results_p_ar/runs/p_ar_0.1/3e14/0.02M/lr_9.0e-03/result.json
0.1,300000000000000.0,0.04M,39968,5972,597,5375,0.009,1.8363757491111756,1.83387610912323,195690496,299971689578496,127740.6992632284,69.49025888647884,results_p_ar/runs/p_ar_0.1/3e14/0.04M/lr_9.0e-03/result.json
0.1,300000000000000.0,0.1M,114192,2644,264,2380,0.003,1.7706302940845489,1.7655914545059204,86638592,299983844671488,288539.4735249622,41.7666406147182,results_p_ar/runs/p_ar_0.1/3e14/0.1M/lr_3.0e-03/result.json
0.1,300000000000000.0,0.2M,205504,1752,175,1577,0.003,1.7628251552581786,1.7549374580383301,57409536,299883005214720,435297.89954337897,35.82180512417108,results_p_ar/runs/p_ar_0.1/3e14/0.2M/lr_3.0e-03/result.json
0.1,300000000000000.0,0.4M,393360,1018,102,916,0.003,1.7944075345993042,1.7838412642478942,33357824,299924843397120,749261.6110019647,32.93873381707817,results_p_ar/runs/p_ar_0.1/3e14/0.4M/lr_3.0e-03/result.json
0.1,300000000000000.0,0.8M,781920,555,56,499,0.003,1.9086629331111908,1.8994008302688599,18186240,299922276483072,1374309.535135135,26.526878396049142,results_p_ar/runs/p_ar_0.1/3e14/0.8M/lr_3.0e-03/result.json
0.1,300000000000000.0,1.6M,1591680,308,31,277,0.003,2.1929334163665772,2.190407228469849,10092544,299765027831808,2475136.0,24.050232612527907,results_p_ar/runs/p_ar_0.1/3e14/1.6M/lr_3.0e-03/result.json
0.1,1000000000000000.0,0.04M,39968,19909,1991,17918,0.027,1.8021688640117646,1.7929177641868592,652378112,999994932854784,127737.13516500076,233.05525935534388,results_p_ar/runs/p_ar_0.1/1e15/0.04M/lr_2.7e-02/result.json
0.1,1000000000000000.0,0.1M,114192,8815,882,7933,0.009,1.6822529196739198,1.6717956066131592,288849920,999989062926336,288497.2996029495,138.1523411301896,results_p_ar/runs/p_ar_0.1/1e15/0.1M/lr_9.0e-03/result.json
0.1,1000000000000000.0,0.2M,205504,5842,584,5258,0.003,1.6542736649513246,1.6404350399971008,191430656,999897830522880,435274.1663813762,113.28939331881702,results_p_ar/runs/p_ar_0.1/1e15/0.2M/lr_3.0e-03/result.json
0.1,1000000000000000.0,0.4M,393360,3393,339,3054,0.003,1.6147059381008149,1.5998477697372437,111181824,999841616363520,749404.2793987622,102.01515830494463,results_p_ar/runs/p_ar_0.1/1e15/0.4M/lr_3.0e-03/result.json
0.1,1000000000000000.0,0.8M,781920,1849,185,1664,0.001,1.6517386555671691,1.63266561627388,60588032,999756587335680,1375074.3537047051,87.79218615218997,results_p_ar/runs/p_ar_0.1/1e15/0.8M/lr_1.0e-03/result.json
0.1,1000000000000000.0,1.6M,1591680,1027,103,924,0.003,1.7274025678634644,1.7169745206832885,33652736,999768679514112,2475699.3495618305,54.1094431495294,results_p_ar/runs/p_ar_0.1/1e15/1.6M/lr_3.0e-03/result.json
0.2,10000000000000.0,0.002M,2232,1620,324,1296,0.027,2.4058207392692568,2.4126128554344177,53084160,9993411624960,15688.0,12.812120823189616,results_p_ar/runs/p_ar_0.2/1e13/0.002M/lr_2.7e-02/result.json
0.2,10000000000000.0,0.005M,4308,1042,208,834,0.081,2.371672880649567,2.3757391691207888,34144256,9998970126336,24403.73896353167,16.790668660774827,results_p_ar/runs/p_ar_0.2/1e13/0.005M/lr_8.1e-02/result.json
0.2,10000000000000.0,0.01M,11152,495,99,396,0.027,2.233476483821869,2.233167254924774,16220160,9983729074176,51292.8,6.756900580599904,results_p_ar/runs/p_ar_0.2/1e13/0.01M/lr_2.7e-02/result.json
0.2,10000000000000.0,0.02M,22488,309,62,247,0.027,2.3678645730018615,2.3727816104888917,10125312,9973112242176,82080.69902912622,4.844568436965346,results_p_ar/runs/p_ar_0.2/1e13/0.02M/lr_2.7e-02/result.json
0.2,10000000000000.0,0.04M,39968,214,43,171,0.009,2.4046274423599243,2.4121934533119203,7012352,9962872897536,118396.71028037384,3.4458066215738654,results_p_ar/runs/p_ar_0.2/1e13/0.04M/lr_9.0e-03/result.json
0.2,30000000000000.0,0.01M,11152,1487,297,1190,0.027,2.135327935218811,2.1392089247703554,48726016,29998108901376,51304.059179556156,15.203755131922662,results_p_ar/runs/p_ar_0.2/3e13/0.01M/lr_2.7e-02/result.json
0.2,30000000000000.0,0.02M,22488,929,186,743,0.027,2.0650152921676637,2.06629456281662,30441472,29994249093120,82109.06350914962,10.628799221478403,results_p_ar/runs/p_ar_0.2/3e13/0.02M/lr_2.7e-02/result.json
0.2,30000000000000.0,0.04M,39968,644,129,515,0.009,2.0189697325229643,2.019034135341644,21102592,29996353585152,118454.4596273292,8.127383762970567,results_p_ar/runs/p_ar_0.2/3e13/0.04M/lr_9.0e-03/result.json
0.2,30000000000000.0,0.1M,114192,284,57,227,0.009,2.317248260974884,2.3206354141235352,9306112,29938598019072,268090.8169014084,5.729013007134199,results_p_ar/runs/p_ar_0.2/3e13/0.1M/lr_9.0e-03/result.json
0.2,30000000000000.0,0.2M,205504,188,38,150,0.009,2.622118878364563,2.6304229497909546,6160384,29934747648000,404936.170212766,4.10761371999979,results_p_ar/runs/p_ar_0.2/3e13/0.2M/lr_9.0e-03/result.json
0.2,100000000000000.0,0.01M,11152,4958,992,3966,0.009,2.0993730068206786,2.1079359650611877,162463744,99992060559360,51289.42315449778,48.23233489692211,results_p_ar/runs/p_ar_0.2/1e14/0.01M/lr_9.0e-03/result.json
0.2,100000000000000.0,0.02M,22488,3096,619,2477,0.009,1.9663963973522187,1.9689464449882508,101449728,99981679656960,82127.44186046511,30.7358146738261,results_p_ar/runs/p_ar_0.2/1e14/0.02M/lr_9.0e-03/result.json
0.2,100000000000000.0,0.04M,39968,2146,429,1717,0.009,1.8885294377803803,1.8883570671081542,70320128,99988323434496,118491.82479030755,20.866706392727792,results_p_ar/runs/p_ar_0.2/1e14/0.04M/lr_9.0e-03/result.json
0.2,100000000000000.0,0.1M,114192,948,190,758,0.003,1.912377917766571,1.9114823281764983,31064064,99957218476032,268148.0506329114,15.428418398834765,results_p_ar/runs/p_ar_0.2/1e14/0.1M/lr_3.0e-03/result.json
0.2,100000000000000.0,0.2M,205504,626,125,501,0.009,1.9485159158706664,1.9492937564849853,20512768,99855221391360,405662.875399361,13.336815095506608,results_p_ar/runs/p_ar_0.2/1e14/0.2M/lr_9.0e-03/result.json
0.2,100000000000000.0,0.4M,393360,363,73,290,0.003,2.048201447725296,2.046147048473358,11894784,99734645637120,698728.1542699725,11.224512200802565,results_p_ar/runs/p_ar_0.2/1e14/0.4M/lr_3.0e-03/result.json
0.2,100000000000000.0,0.8M,781920,198,40,158,0.003,2.361195242404938,2.36413254737854,6488064,99888817766400,1282981.8181818181,10.04293343052268,results_p_ar/runs/p_ar_0.2/1e14/0.8M/lr_3.0e-03/result.json
0.2,300000000000000.0,0.01M,11152,14874,2975,11899,0.027,2.05032856464386,2.053966450691223,487391232,299992640126976,51292.237192416294,140.93268266692758,results_p_ar/runs/p_ar_0.2/3e14/0.01M/lr_2.7e-02/result.json
